Bessel 0 1th(or st, rd) root : 2.4048
Bessel 0 2th(or st, rd) root : 5.5201
Bessel 0 3th(or st, rd) root : 8.6537
Bessel 0 4th(or st, rd) root : 11.7915
Bessel 0 5th(or st, rd) root : 14.9309
Bessel 1 1th(or st, rd) root : 3.8317
Bessel 1 2th(or st, rd) root : 7.0156
Bessel 1 3th(or st, rd) root : 10.1735
Bessel 1 4th(or st, rd) root : 13.3237
Bessel 1 5th(or st, rd) root : 16.4706
Bessel 2 1th(or st, rd) root : 5.1356
Bessel 2 2th(or st, rd) root : 8.4172
Bessel 2 3th(or st, rd) root : 11.6198
Bessel 2 4th(or st, rd) root : 14.7960
Bessel 2 5th(or st, rd) root : 17.9598
Bessel 3 1th(or st, rd) root : 6.3802
Bessel 3 2th(or st, rd) root : 9.7610
Bessel 3 3th(or st, rd) root : 13.0152
Bessel 3 4th(or st, rd) root : 16.2235
Bessel 3 5th(or st, rd) root : 19.4094
Bessel 4 1th(or st, rd) root : 7.5883
Bessel 4 2th(or st, rd) root : 11.0647
Bessel 4 3th(or st, rd) root : 14.3725
Bessel 4 4th(or st, rd) root : 17.6160
Bessel 4 5th(or st, rd) root : 20.8269
Bessel 5 1th(or st, rd) root : 8.7715
Bessel 5 2th(or st, rd) root : 12.3386
Bessel 5 3th(or st, rd) root : 15.7002
Bessel 5 4th(or st, rd) root : 18.9801
Bessel 5 5th(or st, rd) root : 22.2178
