
Initial angle = 0.500, Initial angular speed : 0.000
Time = 0.010, Theta = 0.49998, Small Oscillation = 0.49998, Subtle Error = 1.029e-06
Time = 0.020, Theta = 0.49990, Small Oscillation = 0.49990, Subtle Error = 4.114e-06
Time = 0.030, Theta = 0.49978, Small Oscillation = 0.49978, Subtle Error = 9.256e-06
Time = 0.040, Theta = 0.49962, Small Oscillation = 0.49960, Subtle Error = 1.645e-05
Time = 0.050, Theta = 0.49940, Small Oscillation = 0.49938, Subtle Error = 2.570e-05
Time = 0.060, Theta = 0.49914, Small Oscillation = 0.49910, Subtle Error = 3.699e-05
Time = 0.070, Theta = 0.49883, Small Oscillation = 0.49878, Subtle Error = 5.033e-05
Time = 0.080, Theta = 0.49847, Small Oscillation = 0.49840, Subtle Error = 6.570e-05
Time = 0.090, Theta = 0.49806, Small Oscillation = 0.49798, Subtle Error = 8.311e-05
Time = 0.100, Theta = 0.49760, Small Oscillation = 0.49750, Subtle Error = 1.025e-04
Time = 0.110, Theta = 0.49710, Small Oscillation = 0.49698, Subtle Error = 1.240e-04
Time = 0.120, Theta = 0.49655, Small Oscillation = 0.49640, Subtle Error = 1.475e-04
Time = 0.130, Theta = 0.49595, Small Oscillation = 0.49578, Subtle Error = 1.729e-04
Time = 0.140, Theta = 0.49531, Small Oscillation = 0.49511, Subtle Error = 2.004e-04
Time = 0.150, Theta = 0.49462, Small Oscillation = 0.49439, Subtle Error = 2.298e-04
Time = 0.160, Theta = 0.49387, Small Oscillation = 0.49361, Subtle Error = 2.612e-04
Time = 0.170, Theta = 0.49309, Small Oscillation = 0.49279, Subtle Error = 2.946e-04
Time = 0.180, Theta = 0.49225, Small Oscillation = 0.49192, Subtle Error = 3.299e-04
Time = 0.190, Theta = 0.49137, Small Oscillation = 0.49100, Subtle Error = 3.671e-04
Time = 0.200, Theta = 0.49044, Small Oscillation = 0.49003, Subtle Error = 4.062e-04
Time = 0.210, Theta = 0.48946, Small Oscillation = 0.48902, Subtle Error = 4.473e-04
Time = 0.220, Theta = 0.48844, Small Oscillation = 0.48795, Subtle Error = 4.902e-04
Time = 0.230, Theta = 0.48737, Small Oscillation = 0.48683, Subtle Error = 5.350e-04
Time = 0.240, Theta = 0.48625, Small Oscillation = 0.48567, Subtle Error = 5.817e-04
Time = 0.250, Theta = 0.48509, Small Oscillation = 0.48446, Subtle Error = 6.302e-04
Time = 0.260, Theta = 0.48388, Small Oscillation = 0.48319, Subtle Error = 6.805e-04
Time = 0.270, Theta = 0.48262, Small Oscillation = 0.48189, Subtle Error = 7.326e-04
Time = 0.280, Theta = 0.48131, Small Oscillation = 0.48053, Subtle Error = 7.865e-04
Time = 0.290, Theta = 0.47996, Small Oscillation = 0.47912, Subtle Error = 8.422e-04
Time = 0.300, Theta = 0.47857, Small Oscillation = 0.47767, Subtle Error = 8.996e-04
Time = 0.310, Theta = 0.47713, Small Oscillation = 0.47617, Subtle Error = 9.587e-04
Time = 0.320, Theta = 0.47564, Small Oscillation = 0.47462, Subtle Error = 1.019e-03
Time = 0.330, Theta = 0.47410, Small Oscillation = 0.47302, Subtle Error = 1.082e-03
Time = 0.340, Theta = 0.47252, Small Oscillation = 0.47138, Subtle Error = 1.146e-03
Time = 0.350, Theta = 0.47090, Small Oscillation = 0.46969, Subtle Error = 1.212e-03
Time = 0.360, Theta = 0.46923, Small Oscillation = 0.46795, Subtle Error = 1.279e-03
Time = 0.370, Theta = 0.46751, Small Oscillation = 0.46616, Subtle Error = 1.348e-03
Time = 0.380, Theta = 0.46575, Small Oscillation = 0.46433, Subtle Error = 1.419e-03
Time = 0.390, Theta = 0.46395, Small Oscillation = 0.46245, Subtle Error = 1.490e-03
Time = 0.400, Theta = 0.46209, Small Oscillation = 0.46053, Subtle Error = 1.564e-03
Time = 0.410, Theta = 0.46020, Small Oscillation = 0.45856, Subtle Error = 1.639e-03
Time = 0.420, Theta = 0.45826, Small Oscillation = 0.45654, Subtle Error = 1.715e-03
Time = 0.430, Theta = 0.45628, Small Oscillation = 0.45448, Subtle Error = 1.793e-03
Time = 0.440, Theta = 0.45425, Small Oscillation = 0.45238, Subtle Error = 1.872e-03
Time = 0.450, Theta = 0.45218, Small Oscillation = 0.45022, Subtle Error = 1.953e-03
Time = 0.460, Theta = 0.45006, Small Oscillation = 0.44803, Subtle Error = 2.035e-03
Time = 0.470, Theta = 0.44790, Small Oscillation = 0.44578, Subtle Error = 2.118e-03
Time = 0.480, Theta = 0.44570, Small Oscillation = 0.44350, Subtle Error = 2.202e-03
Time = 0.490, Theta = 0.44345, Small Oscillation = 0.44117, Subtle Error = 2.288e-03
Time = 0.500, Theta = 0.44117, Small Oscillation = 0.43879, Subtle Error = 2.375e-03
Time = 0.510, Theta = 0.43884, Small Oscillation = 0.43637, Subtle Error = 2.463e-03
Time = 0.520, Theta = 0.43646, Small Oscillation = 0.43391, Subtle Error = 2.552e-03
Time = 0.530, Theta = 0.43405, Small Oscillation = 0.43140, Subtle Error = 2.643e-03
Time = 0.540, Theta = 0.43159, Small Oscillation = 0.42885, Subtle Error = 2.734e-03
Time = 0.550, Theta = 0.42909, Small Oscillation = 0.42626, Subtle Error = 2.827e-03
Time = 0.560, Theta = 0.42655, Small Oscillation = 0.42363, Subtle Error = 2.920e-03
Time = 0.570, Theta = 0.42397, Small Oscillation = 0.42095, Subtle Error = 3.015e-03
Time = 0.580, Theta = 0.42134, Small Oscillation = 0.41823, Subtle Error = 3.110e-03
Time = 0.590, Theta = 0.41868, Small Oscillation = 0.41547, Subtle Error = 3.207e-03
Time = 0.600, Theta = 0.41597, Small Oscillation = 0.41267, Subtle Error = 3.304e-03
Time = 0.610, Theta = 0.41323, Small Oscillation = 0.40982, Subtle Error = 3.402e-03
Time = 0.620, Theta = 0.41044, Small Oscillation = 0.40694, Subtle Error = 3.501e-03
Time = 0.630, Theta = 0.40761, Small Oscillation = 0.40401, Subtle Error = 3.601e-03
Time = 0.640, Theta = 0.40475, Small Oscillation = 0.40105, Subtle Error = 3.701e-03
Time = 0.650, Theta = 0.40184, Small Oscillation = 0.39804, Subtle Error = 3.803e-03
Time = 0.660, Theta = 0.39890, Small Oscillation = 0.39500, Subtle Error = 3.904e-03
Time = 0.670, Theta = 0.39592, Small Oscillation = 0.39191, Subtle Error = 4.007e-03
Time = 0.680, Theta = 0.39290, Small Oscillation = 0.38879, Subtle Error = 4.110e-03
Time = 0.690, Theta = 0.38984, Small Oscillation = 0.38562, Subtle Error = 4.214e-03
Time = 0.700, Theta = 0.38674, Small Oscillation = 0.38242, Subtle Error = 4.319e-03
Time = 0.710, Theta = 0.38360, Small Oscillation = 0.37918, Subtle Error = 4.423e-03
