Step number : 1000
x = 0.001, y = -0.99800, yExact = -0.99800, Relative Error : 1.670e-07
x = 0.002, y = -0.99600, yExact = -0.99600, Relative Error : 3.347e-07
x = 0.003, y = -0.99399, yExact = -0.99399, Relative Error : 5.030e-07
x = 0.004, y = -0.99198, yExact = -0.99198, Relative Error : 6.721e-07
x = 0.005, y = -0.98998, yExact = -0.98998, Relative Error : 8.418e-07
x = 0.006, y = -0.98796, yExact = -0.98796, Relative Error : 1.012e-06
x = 0.007, y = -0.98595, yExact = -0.98595, Relative Error : 1.183e-06
x = 0.008, y = -0.98394, yExact = -0.98394, Relative Error : 1.355e-06
x = 0.009, y = -0.98192, yExact = -0.98192, Relative Error : 1.528e-06
x = 0.010, y = -0.97990, yExact = -0.97990, Relative Error : 1.701e-06
x = 0.011, y = -0.97788, yExact = -0.97788, Relative Error : 1.875e-06
x = 0.012, y = -0.97586, yExact = -0.97586, Relative Error : 2.049e-06
x = 0.013, y = -0.97383, yExact = -0.97383, Relative Error : 2.225e-06
x = 0.014, y = -0.97181, yExact = -0.97180, Relative Error : 2.401e-06
x = 0.015, y = -0.96978, yExact = -0.96977, Relative Error : 2.578e-06
x = 0.016, y = -0.96775, yExact = -0.96774, Relative Error : 2.755e-06
x = 0.017, y = -0.96571, yExact = -0.96571, Relative Error : 2.934e-06
x = 0.018, y = -0.96368, yExact = -0.96368, Relative Error : 3.113e-06
x = 0.019, y = -0.96164, yExact = -0.96164, Relative Error : 3.293e-06
x = 0.020, y = -0.95960, yExact = -0.95960, Relative Error : 3.473e-06
x = 0.021, y = -0.95756, yExact = -0.95756, Relative Error : 3.655e-06
x = 0.022, y = -0.95552, yExact = -0.95552, Relative Error : 3.837e-06
x = 0.023, y = -0.95347, yExact = -0.95347, Relative Error : 4.020e-06
x = 0.024, y = -0.95143, yExact = -0.95142, Relative Error : 4.203e-06
x = 0.025, y = -0.94938, yExact = -0.94937, Relative Error : 4.388e-06
x = 0.026, y = -0.94733, yExact = -0.94732, Relative Error : 4.573e-06
x = 0.027, y = -0.94528, yExact = -0.94527, Relative Error : 4.759e-06
x = 0.028, y = -0.94322, yExact = -0.94322, Relative Error : 4.946e-06
x = 0.029, y = -0.94116, yExact = -0.94116, Relative Error : 5.134e-06
x = 0.030, y = -0.93910, yExact = -0.93910, Relative Error : 5.323e-06
x = 0.031, y = -0.93704, yExact = -0.93704, Relative Error : 5.512e-06
x = 0.032, y = -0.93498, yExact = -0.93498, Relative Error : 5.702e-06
x = 0.033, y = -0.93292, yExact = -0.93291, Relative Error : 5.894e-06
x = 0.034, y = -0.93085, yExact = -0.93084, Relative Error : 6.085e-06
x = 0.035, y = -0.92878, yExact = -0.92877, Relative Error : 6.278e-06
x = 0.036, y = -0.92671, yExact = -0.92670, Relative Error : 6.472e-06
x = 0.037, y = -0.92464, yExact = -0.92463, Relative Error : 6.666e-06
x = 0.038, y = -0.92256, yExact = -0.92256, Relative Error : 6.862e-06
x = 0.039, y = -0.92049, yExact = -0.92048, Relative Error : 7.058e-06
x = 0.040, y = -0.91841, yExact = -0.91840, Relative Error : 7.255e-06
x = 0.041, y = -0.91633, yExact = -0.91632, Relative Error : 7.453e-06
x = 0.042, y = -0.91424, yExact = -0.91424, Relative Error : 7.652e-06
x = 0.043, y = -0.91216, yExact = -0.91215, Relative Error : 7.852e-06
x = 0.044, y = -0.91007, yExact = -0.91006, Relative Error : 8.053e-06
x = 0.045, y = -0.90798, yExact = -0.90797, Relative Error : 8.255e-06
x = 0.046, y = -0.90589, yExact = -0.90588, Relative Error : 8.458e-06
x = 0.047, y = -0.90380, yExact = -0.90379, Relative Error : 8.661e-06
x = 0.048, y = -0.90170, yExact = -0.90170, Relative Error : 8.866e-06
x = 0.049, y = -0.89961, yExact = -0.89960, Relative Error : 9.071e-06
x = 0.050, y = -0.89751, yExact = -0.89750, Relative Error : 9.278e-06
x = 0.051, y = -0.89541, yExact = -0.89540, Relative Error : 9.485e-06
x = 0.052, y = -0.89330, yExact = -0.89330, Relative Error : 9.694e-06
x = 0.053, y = -0.89120, yExact = -0.89119, Relative Error : 9.903e-06
x = 0.054, y = -0.88909, yExact = -0.88908, Relative Error : 1.011e-05
x = 0.055, y = -0.88698, yExact = -0.88697, Relative Error : 1.032e-05
x = 0.056, y = -0.88487, yExact = -0.88486, Relative Error : 1.054e-05
x = 0.057, y = -0.88276, yExact = -0.88275, Relative Error : 1.075e-05
x = 0.058, y = -0.88065, yExact = -0.88064, Relative Error : 1.097e-05
x = 0.059, y = -0.87853, yExact = -0.87852, Relative Error : 1.118e-05
x = 0.060, y = -0.87641, yExact = -0.87640, Relative Error : 1.140e-05
x = 0.061, y = -0.87429, yExact = -0.87428, Relative Error : 1.161e-05
x = 0.062, y = -0.87217, yExact = -0.87216, Relative Error : 1.183e-05
x = 0.063, y = -0.87004, yExact = -0.87003, Relative Error : 1.205e-05
x = 0.064, y = -0.86791, yExact = -0.86790, Relative Error : 1.227e-05
x = 0.065, y = -0.86579, yExact = -0.86577, Relative Error : 1.250e-05
x = 0.066, y = -0.86365, yExact = -0.86364, Relative Error : 1.272e-05
x = 0.067, y = -0.86152, yExact = -0.86151, Relative Error : 1.294e-05
x = 0.068, y = -0.85939, yExact = -0.85938, Relative Error : 1.317e-05
x = 0.069, y = -0.85725, yExact = -0.85724, Relative Error : 1.339e-05
x = 0.070, y = -0.85511, yExact = -0.85510, Relative Error : 1.362e-05
x = 0.071, y = -0.85297, yExact = -0.85296, Relative Error : 1.385e-05
x = 0.072, y = -0.85083, yExact = -0.85082, Relative Error : 1.408e-05
x = 0.073, y = -0.84868, yExact = -0.84867, Relative Error : 1.431e-05
x = 0.074, y = -0.84654, yExact = -0.84652, Relative Error : 1.454e-05
x = 0.075, y = -0.84439, yExact = -0.84437, Relative Error : 1.478e-05
x = 0.076, y = -0.84224, yExact = -0.84222, Relative Error : 1.501e-05
x = 0.077, y = -0.84008, yExact = -0.84007, Relative Error : 1.525e-05
x = 0.078, y = -0.83793, yExact = -0.83792, Relative Error : 1.548e-05
x = 0.079, y = -0.83577, yExact = -0.83576, Relative Error : 1.572e-05
x = 0.080, y = -0.83361, yExact = -0.83360, Relative Error : 1.596e-05
x = 0.081, y = -0.83145, yExact = -0.83144, Relative Error : 1.620e-05
x = 0.082, y = -0.82929, yExact = -0.82928, Relative Error : 1.644e-05
x = 0.083, y = -0.82712, yExact = -0.82711, Relative Error : 1.669e-05
x = 0.084, y = -0.82496, yExact = -0.82494, Relative Error : 1.693e-05
x = 0.085, y = -0.82279, yExact = -0.82277, Relative Error : 1.718e-05
x = 0.086, y = -0.82062, yExact = -0.82060, Relative Error : 1.743e-05
x = 0.087, y = -0.81845, yExact = -0.81843, Relative Error : 1.767e-05
x = 0.088, y = -0.81627, yExact = -0.81626, Relative Error : 1.792e-05
x = 0.089, y = -0.81409, yExact = -0.81408, Relative Error : 1.817e-05
x = 0.090, y = -0.81191, yExact = -0.81190, Relative Error : 1.843e-05
x = 0.091, y = -0.80973, yExact = -0.80972, Relative Error : 1.868e-05
x = 0.092, y = -0.80755, yExact = -0.80754, Relative Error : 1.894e-05
x = 0.093, y = -0.80537, yExact = -0.80535, Relative Error : 1.919e-05
x = 0.094, y = -0.80318, yExact = -0.80316, Relative Error : 1.945e-05
x = 0.095, y = -0.80099, yExact = -0.80097, Relative Error : 1.971e-05
x = 0.096, y = -0.79880, yExact = -0.79878, Relative Error : 1.997e-05
x = 0.097, y = -0.79661, yExact = -0.79659, Relative Error : 2.023e-05
x = 0.098, y = -0.79441, yExact = -0.79440, Relative Error : 2.050e-05
x = 0.099, y = -0.79222, yExact = -0.79220, Relative Error : 2.076e-05
x = 0.100, y = -0.79002, yExact = -0.79000, Relative Error : 2.103e-05
x = 0.101, y = -0.78782, yExact = -0.78780, Relative Error : 2.130e-05
x = 0.102, y = -0.78561, yExact = -0.78560, Relative Error : 2.157e-05
x = 0.103, y = -0.78341, yExact = -0.78339, Relative Error : 2.184e-05
x = 0.104, y = -0.78120, yExact = -0.78118, Relative Error : 2.211e-05
x = 0.105, y = -0.77899, yExact = -0.77897, Relative Error : 2.238e-05
x = 0.106, y = -0.77678, yExact = -0.77676, Relative Error : 2.266e-05
x = 0.107, y = -0.77457, yExact = -0.77455, Relative Error : 2.294e-05
x = 0.108, y = -0.77235, yExact = -0.77234, Relative Error : 2.322e-05
